name,name_h,nickname,nickname_h
愛美,あいみ,あいみん,あいみん
赤﨑千夏,あかさき ちなつ,ちーさま,ちーさま
赤﨑千夏,あかさき ちなつ,ちーちゃん,ちーちゃん
麻倉もも,あさくら もも,もち,もち
麻倉もも,あさくら もも,もちょ,もちょ
阿澄佳奈,あすみ かな,あすみん,あすみん
阿澄佳奈,あすみ かな,アスミス,あすみす
雨宮天,あまみや そら,天ちゃん,そらちゃん
雨宮天,あまみや そら,ドヤ宮,どやみや
飯田里穂,いいだ りほ,りっぴー,りっぴー
石川界人,いしかわ かいと,石川プロ,いしかわぷろ
石原夏織,いしはら かおり,キャリー,きゃりー
伊藤静,いとう しずか,静御前,しずかごぜん
伊藤静,いとう しずか,静様,しずかさま
伊藤美来,いとう みく,みっく,みっく
今井麻美,いまい あさみ,ミンゴス,みんごす
今井麻美,いまい あさみ,アサミンゴスP,あさみんごすP
今井麻美,いまい あさみ,イマジン,いまじん
上坂すみれ,うえさか すみれ,すみぺ,すみぺ
上田麗奈,うえだ れいな,うえしゃま,うえしゃま
上田麗奈,うえだ れいな,うえばあ,うえばあ
上田麗奈,うえだ れいな,しゃましゃま,しゃましゃま
内田彩,うちだ あや,うっちー,うっちー
内田真礼,うちだ まあや,まややん,まややん
内田真礼,うちだ まあや,まれい,まれい
内田雄馬,うちだ ゆうま,ゆうまたそ,ゆうまたそ
内田雄馬,うちだ ゆうま,ゆうくん,ゆうくん
永野愛理,えいの あいり,あいちゃん,あいちゃん
江口拓也,えぐち たくや,えぐう,えぐう
近藤唯,えんどう ゆい,ゆんこん,ゆんこん
大坪由佳,おおつぼ ゆか,バウム,バウム
大坪由佳,おおつぼ ゆか,ゆかちん,ゆかちん
大橋彩香,おおはし あやか,へご,へご
大橋彩香,おおはし あやか,へごちん,へごちん
大橋彩香,おおはし あやか,はっしー,はっしー
大原さやか,おおはら さやか,さぁや,さぁや
奥野香耶,おくの かや,かやたん,かやたん
小倉唯,おぐら ゆい,ゆいゆい,ゆいゆい
小倉唯,おぐら ゆい,ゆいたま,ゆいたま
小倉唯,おぐらゆい,ちゃんゆい,ちゃんゆい
加藤英美里,かとうえみり,えみりん,えみりん
金田朋子,かねだ ともこ,金朋,かねとも
金田朋子,かねだ ともこ,朋ちゃん,ともちゃん
神谷浩史,かみや ひろし,ヒロC,ひろしー
茅野愛衣,かやの あい,かやのん,かやのん
川澄綾子,かわすみ あやこ,あやちー,あやちー
川澄綾子,かわすみ あやこ,綾ちゃん,あやちゃん
橘田いずみ,きった いずみ,いず様,いずさま
木戸衣吹,きど いぶき,いぶちゃん,いぶちゃん
木戸衣吹,きど いぶき,木戸ちゃん,きどちゃん
木戸衣吹,きど いぶき,いぶきんぐ,いぶきんぐ
木戸衣吹,きど いぶき,いぶいぶ,いぶいぶ
釘宮理恵,くぎみや りえ,くぎみー,くぎみー
釘宮理恵,くぎみや りえ,くぎゅう,くぎゅう
楠田亜衣奈,くすだ あいな,くっすん,くっすん
久保ユリカ,くぼ ゆりか,シカコ,しかこ
桑島法子,くわしま ほうこ,ほーちゃん,ほーちゃん
小岩井ことり,こいわい ことり,ことりん,ことりん
小岩井ことり,こいわいことり,こっこちゃん,こっこちゃん
小松未可子,こまつみかこ,みかこし,みかこし
坂本真綾,さかもと まあや,マーヤ,まーや
佐倉綾音,さくら あやね,あやねる,あやねる
佐々木未来,ささき みこい,みころん,みころん
沢城みゆき,さわしろ みゆき,みゆきち,みゆきち
下田麻美,しもだ あさみ,あさぽん,あさぽん
下野紘,しもの ひろ,しもんぬ,しもんぬ
白石涼子,しらいし りょうこ,うりょっち,うりょっち
洲崎綾,すざき あや,ぺ,ぺ
洲崎綾,すざき あや,あやっぺ,あやっぺ
洲崎綾,すざき あや,ぺっちゃん,ぺっちゃん
諏訪ななか,すわ ななか,すわわ,すわわ
高垣彩陽,たかがき あやひ,あやひー,あやひー
高槻かなこ,たかつき かなこ,きんぐ,きんぐ
高槻かなこ,たかつき かなこ,たかつきんぐ,たかつきんぐ
たかはし智秋,たかはし ちあき,チアキング,ちあきんぐ
たかはし智秋,たかはし ちあき,キング,きんぐ
高橋未奈美,たかはし みなみ,たかみな,たかみな
高森奈津美,たかもり なつみ,なつ姉,なつねえ
竹達彩奈,たけたつ あやな,あやち,あやち
竹達彩奈,たけたつ あやな,あやにゃん,あやにゃん
立花理香,たちばな りか,こんちきさん,こんちきさん
立花理香,たちばな りか,りっか様,りっかさま
田所あずさ,たどころ あずさ,ころあず,ころあず
田所あずさ,たどころ あずさ,あずあず,あずあず
田中美海,たなか みなみ,みにゃみ,みにゃみ
種田梨沙,たねだ りさ,種ちゃん,たねちゃん
種田梨沙,たねだ りさ,シード君,しーどくん
田村ゆかり,たむら ゆかり,ゆかりん,ゆかりん
田村ゆかり,たむら ゆかり,ゆかり姫,ゆかりひめ
田村ゆかり,たむら ゆかり,姫様,ひめさま
津田美波,つだ みなみ,つだみん,つだみん
津田美波,つだ みなみ,津田にゃん,つだにゃん
寺川愛美,てらかわあいみ,あいみん,あいみん
照井春佳,てるい はるか,ぱるにゃす,ぱるにゃす
東山奈央,とうやま なお,奈央ぼう,なおぼう
徳井青空,とくい そら,そらまる,そらまる
戸松遥,とまつ はるか,とまっちゃん,とまっちゃん
戸松遥,とまつ はるか,ハルカス,はるかす
豊田萌絵,とよた もえ,もえ氏,もえし
中村繪里子,なかむら えりこ,えりりん,えりりん
中村悠一,なかむら ゆういち,ゆうきゃん,ゆうきゃん
夏川椎菜,なつかわ しいな,ナンス,なんす
夏川椎菜,なつかわ しいな,アニマルDD,あにまるDD
野中藍,なのか あい,あいぽん,あいぽん
南條愛乃,なんじょう よしの,ナンジョルノ,なんじょるの
南條愛乃,なんじょう よしの,南ちゃん,なんちゃん
新田恵海,にった えみ,えみつん,えみつん
新田ひより,にった ひより,ぴよたん,ぴよたん
沼倉愛美,ぬまくら まなみ,ぬー,ぬー
のぐちゆり,のぐち ゆり,ちゃんゆり,ちゃんゆり
能登麻美子,のと まみこ,のとまみ,のとまみ
能登麻美子,のと まみこ,のんちゃん,のんちゃん
能登麻美子,のと まみこ,まみまみ,まみまみ
野村香菜子,のむら かなこ,かっく,かっく
花澤香菜,はなざわ かな,かなちゃん,かなちゃん
花澤香菜,はなざわ かな,はなかな,はなかな
林原めぐみ,はやしばら めぐみ,めぐさん,めぐさん
林原めぐみ,はやしばら めぐみ,めぐ姉,めぐねえ
原由実,はら ゆみ,はらみー,はらみー
原由実,はら ゆみ,ぷにみー,ぷにみー
原由実,はら ゆみ,めがみー,めがみー
日髙のり子,ひだか のりこ,ノン子,のんこ
日高里菜,ひだか りな,ちゃんりな,ちゃんりな
平野綾,ひらの あや,あーや,あーや
福圓美里,ふくえん みさと,ミサトン,ミントン
福原綾香,ふくはら かおり,ふーりん,ふーりん
渕上舞,ふちがみ まい,まいまい,まいまい
堀江由衣,ほりえ ゆい,ほっちゃん,ほっちゃん
牧野由依,まきの ゆい,まきのん,まきのん
牧野由依,まきの ゆい,ゆっち,ゆっち
松井恵理子,まつい えりこ,まつえり,まつえり
松井恵理子,まつい えりこ,エイリー,えいりー
松井恵理子,まつい えりこ,カッター,かったー
三上枝織,みかみ しおり,みかしい,みかしい
三澤紗千香,みさわ さちか,さっち,さっち
三澤紗千香,みさわ さちか,さっちゃん,さっちゃん
水瀬いのり,みなせ いのり,いのすけ,いのすけ
水瀬いのり,みなせ いのり,いのりん,いのりん
三森すずこ,みもり すずこ,みもりん,みもりん
三宅麻理恵,みやけ まりえ,まりえってぃ,まりえってぃ
村川梨衣,むらかわ りえ,りえしょん,りえしょん
村川梨衣,むらかわ りえ,そんせんなしころも,そんせんなしころも
山口立花子,やまぐち りかこ,りかねえ,りかねえ
山口立花子,やまぐち りかこ,ちくわP,ちくわP
山崎はるか,やまざき はるか,ぴょん,ぴょん
山崎はるか,やまざき はるか,ぴょん吉,ぴょんきち
山下七海,やました ななみ,ななみん,ななみん
山下まみ,やました まみ,まみみ,まみみ
山本希望,やまもと のぞみ,のぞふぃす,のぞふぃす
山本希望,やまもと のぞみ,のぞてぃ,のぞてぃ
山本希望,やまもと のぞみ,のんたん,のんたん
悠木碧,ゆうき あおい,あおちゃん,あおちゃん
悠木碧,ゆうき あおい,おいちゃん,おいちゃん
ゆかな,ゆかな,ゆかにゃん,ゆかにゃん
吉岡茉祐,よしおか まゆ,まゆしぃ,まゆしぃ
代永翼,よなが つばさ,ウィング,ういんぐ
ルゥ・ティン,るぅ てぃん,るぅちゃん,るぅちゃん
渡部優衣,わたなべ ゆい,ゆいとん,ゆいとん
渡部優衣,わたなべ ゆい,阪神,はんしん
渡部優衣,わたなべ ゆい,破壊神,はかいしん